code_prefix,item_number,code_suffix,product_type_name,product,size,category,item_description,item_class_code,jpeg,raw_image
L,101,"","","","","","LMF SENIOR 50#",FARMERS,"",""
L,201,"","","","","","LMF SUPER SUPP 'G' 50#",FARMERS,"",""
L,450,"","","","","","LMF GOLD 50#",FARMERS,"",""
L,600,"","","","","","LMF LOW-CARB STAGE 1 50#",FARMERS,"",""
L,650,"","","","","","LMF LOW CARB COMPLETE 50#",FARMERS,"",""
CS,701,"","NO MELT","SINGLE SUET BASKETS","8/ case","WILD BIRD SUET","","","",""
"",750,"","","","","","PEARLED BARLEY 50#",SINGLE,"",""
L,850,"","","","","","LMF PERFORMANCE 'G' 50#",FARMERS,"",""
L,901,"","","","","","LMF SHOW TIME 'G'  50#",FARMERS,"",""
"",1404,"","","","","","CHARCOAL 50#",SINGLE,"",""
"",2890,"","","","","","""BARLEY ROLLED 70#""",FARMERS,"",""
"",2902,"","","","","","""CORN ROLLED 70#""",FARMERS,"",""
"",2916,"","","","","","""OATS CRIMPED""",FARMERS,"",""
"",9550,"","","""BARLEY R/C MALT""",50,"RECLEANED GRAINS","""BARLEY R/C MALT 50#""",SINGLE,"",""
"",10000,"","","SUPER SCRATCH",50,GAMEBIRD,"SUPER SCRATCH 50#","GAME BIRD","",""
"",10000,"","","SUPER SCRATCH",50,GAMEBIRD,"SUPER SCRATCH 50#","GAME BIRD","",""
6,10002,"","","","","","BEST PET CANARY 6/2#",BEST,"",""
6,10004,"","","","","","BEST PET CANARY 6/4#",BEST,"",""
6,10020,"","","","","","BEST PET CANARY 20#",BEST,"",""
6,10020,"","","","","","BEST PET CANARY 20#",BEST,"",""
"",10025,"","","","","","BUCKWHEAT 25#",SINGLE,"",""
"",10025,"","","","","","BUCKWHEAT 25#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10075,"","","SUPER SCRATCH",75,GAMEBIRD,"SUPER SCRATCH 75#","GAME BIRD","",""
"",10075,"","","SUPER SCRATCH",75,GAMEBIRD,"SUPER SCRATCH 75#","GAME BIRD","",""
6,10202,"","","","","","BEST PET FINCH 6/2#",BEST,"",""
6,10204,"","","","","","BEST PET FINCH 6/4#",BEST,"",""
6,10220,"","","","","","BEST PET FINCH 20#",BEST,"",""
6,10220,"","","","","","BEST PET FINCH 20#",BEST,"",""
6,10220,"","","","","","BEST PET FINCH 20#",BEST,"",""
6,10302,"","","","","","BEST PET COCKATIEL 6/2#",BEST,"",""
6,10304,"","","","","","BEST PET COCKATIEL 6/4#",BEST,"",""
6,10320,"","","","","","BEST PET COCKATIEL 20#",BEST,"",""
"",10350,"","","WINNER'S SCRATCH",50,GAMEBIRD,"WINNER'S SCRATCH 50#","GAME BIRD","",""
"",10375,"","","WINNER'S SCRATCH ",75,GAMEBIRD,"WINNER'S SCRATCH 75#","GAME BIRD","",""
6,10420,"","","","","","BEST PET LARGE HOOKBILL 20#",BEST,"",""
6,10435,"","","","","","BEST PET LARGE HOOKBILL 6/3.5#",BEST,"",""
"",10500,"","","","","","BANANA CHIPS 14#",SINGLE,"",""
6,10520,"","","","","","""BEST PET PARROT NO SUN 20#""",BEST,"",""
6,10535,"","","","","","""BEST PET PARROT NO SUN 6/3.5#""",BEST,"",""
"",10540,"","","","","","CARROT DICES 51#",SINGLE,"",""
"",10545,"","","","","","CARROT GRANULES 44#",SINGLE,"",""
6,10620,"","","","","","BEST PET MEDIUM HOOKBILL 20#",BEST,"",""
6,10620,"","","","","","BEST PET MEDIUM HOOKBILL 20#",BEST,"",""
6,10635,"","","","","","BEST PET MEDIUM HOOKBILL 6/3.5#",BEST,"",""
6,10720,"","","","","","BEST PET PARROT W/SUN 20#",BEST,"",""
6,10735,"","","","","","BEST PET PARROT W/SUN 6/3.5#",BEST,"",""
"",10750,"","","","","","""LENTILS RED 50#""",SINGLE,"",""
6,10802,"","","","","","BEST PET PARAKEET 6/2#",BEST,"",""
6,10804,"","","","","","BEST PET PARAKEET 6/4#",BEST,"",""
6,10820,"","","","","","BEST PET PARAKEET 20#",BEST,"",""
6,10820,"","","","","","BEST PET PARAKEET 20#",BEST,"",""
"",10850,"","","","","","""LENTILS COMMON""",SINGLE,"",""
"",10850,"","","","","","""LENTILS COMMON""",SINGLE,"",""
6,11002,"","","","","","BEST PET CONURE/LOVEBIRD/ PARROLET 6/2#",BEST,"",""
6,11004,"","","","","","BEST PET CONURE/LOVEBIRD/PARROTLET 6/4#",BEST,"",""
6,11020,"","","","","","BEST PET CONURE/LOVEBIRD/PARROTLET 20#",BEST,"",""
"",11025,"","","CANARY SEED",25,"SINGLE SEED","CANARY SEED 25#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939110256.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939110256+raw.nef
"",11050,"","","CANARY SEED",50,"SINGLE SEED","CANARY SEED 50#",SINGLE,"",""
"",11120,"","","","","","VP CANARY ENRICHED 20#","VP ENT","",""
7,11120,"","","","","","W B STATION PREM BLEND 20#","VK SPECIAL","",""
7,11140,"","","","","","W B STATION PREM BLEND 40#","VK SPECIAL","",""
"",11220,"","","","","","VP COCKATIEL ENRICHED 20#","VP ENT","",""
"",11306,"","","INDIAN CORN ON THE COB",5/6,"WILD BIRD","INDIAN CORN ON THE COB 5/6#",SINGLE,"",""
"",11320,"","","INDIAN CORN ON THE COB",20,"WILD BIRD","INDIAN CORN ON THE COB 20#",SINGLE,"",""
"",11406,"","","CORN ON THE COB",5/6,"WILD BIRD","CORN ON THE COB 5/6#",SINGLE,"",""
"",11420,"","","CORN ON THE COB",20,"WILD BIRD","CORN ON THE COB 20#",SINGLE,"",""
"",11520,"","","","","","VP FINCH ENRICHED 20#","VP ENT","",""
"",11525,"","","","","","""CORN DENT 25#""",SINGLE,"",""
"",11550,"","","""CORN R/C YELLOW""",50,"RECLEANED GRAINS","""CORN DENT 50#""",SINGLE,"",""
"",11620,"","","","","","VP HAMSTER ENRICHED/TREAT 20#","VP ENT","",""
"",11725,"","","""CORN CRACKED""",25,"RECLEANED GRAINS","CRACKED CORN 25#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939117255.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939117255+raw.nef
"",11750,"","","""CORN CRACKED""",50,"RECLEANED GRAINS","CRACKED CORN 50#",SINGLE,"",""
"",11820,"","","","","","VP PARAKEET ENRICHED 20#","VP ENT","",""
"",11920,"","","","","","VP PARROT ENRICHED 20#","VP ENT","",""
"",12025,"","",FLAX,25,"SINGLE SEED","FLAX SEED 25#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939120255.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939120255+raw.nef
"",12050,"","",FLAX,50,"SINGLE SEED","FLAX 50#",SINGLE,"",""
"",12120,"","","","","","VP COCKATIEL FORTIFIED 20#","VP ENT","",""
"",12125,"","",HEMP,25,"SINGLE SEED","HEMP SEED 25#",SINGLE,"",""
"",12140,"","","","","","VP COCKATIEL FORTIFIED 40#","VP ENT","",""
"",12150,"","",HEMP,50,"","HEMP 50#",SINGLE,"",""
CS,12501,"","HIGH ENERGY","HIGH ENERGY SUET","11.75 oz","WILD BIRD SUET","HIGH ENERGY SUET 12/CASE",SUET,"",""
CS,12507,"","NO MELT","PEANUT DELIGHT","11.75 oz","WILD BIRD SUET","PEANUT DELIGHT 12/CASE",SUET,"",""
CS,12509,"","HIGH ENERGY","PEANUT TREAT","11 oz","WILD BIRD SUET","PEANUT TREAT 12/CASE",SUET,"",""
CS,12513,"","HIGH ENERGY","PARTY MIX","11 oz","WILD BIRD SUET","PARTY MIX 12/CASE",SUET,"",""
CS,12517,"","NO MELT","CALCIUM DELIGHT ","13.25 oz","WILD BIRD SUET","CALCIUM DELIGHT 12/CASE",SUET,"",""
CS,12529,"","NO MELT","ORANGE DELIGHT ","11.75 oz","WILD BIRD SUET","ORANGE DELIGHT 12/CASE",SUET,"",""
CS,12533,"","NO MELT","INSECT DELIGHT","11.75 oz","WILD BIRD SUET","INSECT DELIGHT 12/CASE",SUET,"",""
CS,12543,"","NO MELT","BERRY DELIGHT","11.75 oz","WILD BIRD SUET","BERRY DELIGHT 12/CASE",SUET,"",""
"",12552,"","","","","","HEMP SEED 6/2#",SINGLE,"",""
CS,12553,"","NO MELT","HOT PEPPER DELIGHT","11.75 oz","WILD BIRD SUET","HOT PEPPER DELIGHT 12/CASE",SUET,"",""
CS,12559,"","HIGH ENERGY","NUTTY TREAT","11.75 oz","WILD BIRD SUET","NUTTY TREAT 12/CASE",SUET,"",""
CS,12561,"","HIGH ENERGY","ORANGE TREAT","11.75 oz","WILD BIRD SUET","ORANGE TREAT 12/CASE",SUET,"",""
CS,12571,"","NO MELT","WOODPECKER DELIGHT","11.75 oz","WILD BIRD SUET","WOODPECKER DELIGHT NO MELT 12/CASE",SUET,"",""
CS,12581,"","NO MELT","PEANUT BUTTER DELIGHT","11.75 oz","WILD BIRD SUET","PEANUT BUTTER DELIGHT 12/CASE",SUET,"",""
CS,12583,"","NO MELT","MEALWORM DELIGHT","11.75 oz","WILD BIRD SUET","MEALWORM DELIGHT 12/CASE",SUET,"",""
"",12625,"","","","","","VP PARROT FORTIFIED 25#","VP ENT","",""
"",12650,"","","","","","VP PARROT FORTIFIED 50#","VP ENT","",""
"",12820,"","","","","","VP LARGE HOOKBILL FORTIFIED 20#","VP ENT","",""
"",12840,"","","","","","VP LARGE HOOKBILL FORTIFIED 40#","VP ENT","",""
6,13004,"","","","","","BEST PET GUINEA PIG 6/4#",BEST,"",""
6,13020,"","","","","","BEST PET GUINEA PIG 20#",BEST,"",""
"",13025,"","","","","","VP CANARY ROLLER MIX 25#","VP ENT","",""
"",13050,"","","","","","VP CANARY ROLLER MIX 50#","VP ENT","",""
"",13125,"","","","","","VP COCKATIEL PREMIUM 25#","VP ENT","",""
"",13150,"","","","","","VP COCKATIEL PREMIUM 50#","VP ENT","",""
"",13225,"","","","","","VP COCKATIEL SPECIAL W/SUNFLOWER 25#","VP ENT","",""
"",13250,"","","","","","VP COCKATIEL SPECIAL W/SUNFLOWER 50#","VP ENT","",""
6,13420,"","","","","","""BEST PET HAMSTER MICE RATS 20#""",BEST,"",""
6,13424,"","","","","","""BEST PET HAMSTER MICE RATS 6/24OZ""",BEST,"",""
"",13425,"","","","","","VP DOVE & QUAIL 25#","VP ENT","",""
6,13435,"","","","","","""BEST PET HAMSTER MICE RATS 6/3.5#""",BEST,"",""
"",13450,"","","","","","VP DOVE & QUAIL 50#","VP ENT","",""
6,13501,"","","","","","BEST PET PREMIUM EGGFOOD 6/1#",BEST,"",""
6,13515,"","","","","","BEST PET PREMIUM EGGFOOD 15#",BEST,"",""
"",13525,"","","","","","VP FINCH PREMIUM 25#","VP ENT","",""
"",13550,"","","","","","VP FINCH PREMIUM 50#","VP ENT","",""
6,13601,"","","","","","BEST PET PREMIUM RED EGGFOOD 6/1#",BEST,"",""
"",13625,"","","","","","VP SMALL HOOKBILL 25#","VP ENT","",""
"",13650,"","","","","","VP SMALL HOOKBILL 50#","VP ENT","",""
6,13704,"","","","","","BEST PET RABBIT PELLETS 6/4#",BEST,"",""
6,13708,"","","","","","BEST PET RABBIT PELLETS 5/8#",BEST,"",""
6,13720,"","","","","","BEST PET RABBIT PELLETS 20#",BEST,"",""
"",13725,"","","","","","VP SMALL HOOKBILL SPECIAL 25#","VP ENT","",""
6,13804,"","","","","","BEST PET RABBIT DELUXE 6/4#",BEST,"",""
6,13808,"","","","","","BEST PET RABBIT DELUXE 5/8#",BEST,"",""
6,13820,"","","","","","BEST PET RABBIT DELUXE 20#",BEST,"",""
"",13820,"","","","","","VP LARGE HOOKBILL (NO SUNFLOWER) 20#","VP ENT","",""
"",13840,"","","","","","VP LARGE HOOKBILL (NO SUNFLOWER) 40#","VP ENT","",""
6,13903,"","","","","","BEST PET COMPLETE DIET 6/3#",BEST,"",""
"",13925,"","","","","","VP PARROT SUPREME 25#","VP ENT","",""
6,13950,"","","","","","BEST PET COMPLETE DIET 50#",BEST,"",""
"",14005,"","","SPRAY MILLET",5,"CAGED BIRD PRODUCTS","SPRAY MILLET 5#",OTHER,"",""
"",14006,"","","SPRAY MILLET",6/6oz,"CAGED BIRD PRODUCTS","SPRAY MILLET 6/6oz",OTHER,"",""
"",14010,"","","","","","","","",""
"",14025,"","","SPRAY MILLET",25,"CAGED BIRD PRODUCTS","SPRAY  MILLET 25#",OTHER,"",""
"",14225,"","","","","","VP PARAKEET 25% 25#","VP ENT","",""
"",14250,"","","","","","VP PARAKEET 25% 50#","VP ENT","",""
"",14325,"","","","","","VP PARAKEET 42% 25#","VP ENT","",""
"",14350,"","","","","","VP PARAKEET 42% 50#","VP ENT","",""
"",14425,"","","","","","VP WILDBIRD PREMIUM (NO SUN) 25#","VP ENT","",""
"",14450,"","","","","","VP WILDBIRD PREMIUM (NO SUN) 50#","VP ENT","",""
"",14525,"","","","","","VP WILDBIRD W/SUNFLOWER 25#","VP ENT","",""
"",14550,"","","","","","VP WILDBIRD W/SUNFLOWER 50#","VP ENT","",""
"",14720,"","","","","","VP RABBIT TREAT 20#","VP ENT","",""
6,15201,"","","","","","BEST FANCY FRUIT & NUT 6/1.5#",BEST,"",""
6,15215,"","","","","","BEST PET FANCY FRUIT & NUT 15#",BEST,"",""
"",15420,"","","","","","VP COCKATIEL BREEDERS 50#","VP ENT","",""
"",15750,"","","","","","""MILLET HULLED 50#""",SINGLE,"",""
"",15850,"","","""MILLET PROSO RED""",50,"SINGLE SEED","""MILLET RED PROSO 50#""",SINGLE,"",""
"",16025,"","","""MILLET PROSO WHITE""",25,"SINGLE SEED","WHITE PROSO MILLET 25#","","",""
"",16050,"","","""MILLET PROSO WHITE""",50,"SINGLE SEED","""MILLET WH.PROSO 50#""",SINGLE,"",""
"",16750,"","","""MILLET JAPANESE""",50,"SINGLE SEED","JAPANESE MILLET 50#",SINGLE,"",""
"",16950,"","","","","","SIBERIAN MILLET 50#",SINGLE,"",""
"",17025,"","","""MILLET PROSO FINCH (GERMAN)""",25,"SINGLE SEED","","","",""
"",17050,"","","""MILLET PROSO FINCH (GERMAN)""",50,"SINGLE SEED","""MILLET GOLDEN GERMAN 50#""",SINGLE,"",""
"",17150,"","","","","","J.S. WEST R/C MILO","JS WEST","",""
"",17300,"","","""MILO R/C""",50,"","""MILO RED 50#""",SINGLE,"",""
"",17325,"","","","","","""MILO RED 25#""",SINGLE,"",""
"",17350,"","","""CORN KAFFIR""",50,"RECLEANED GRAINS","WHITE MILO/KAFFIR CORN 50#",SINGLE,"",""
6,17501,"","","","","","BEST PET SPRAY MILLET 6/6OZ",BEST,"",""
"",18102,"","","SONGBIRD NYJER SOCKS",2/25,"","NYJER SOCKS 25/2#",WILDBIRD,"",""
"",18104,"","","NYJER THISTLE",6/4,"SINGLE SEED","NYJER SEED 6/4#",SINGLE,"",""
"",18108,"","","NYJER THISTLE",5/8,"SINGLE SEED","NYJER SEED 5/8#",SINGLE,"",""
"",18120,"","","NYJER THISTLE",20,"SINGLE SEED","NYJER SEED YELLOW BAG 20#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939181201.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939181201+raw.nef
"",18120,"","","NYJER THISTLE",20,"SINGLE SEED","NYJER SEED YELLOW BAG 20#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939181201.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939181201+raw.nef
"",18150,"","","NYJER THISTLE",50,"SINGLE SEED","NYJER SEED 50#",SINGLE,"",""
"",18220,"","","","","","WBU PREMIUM NYJER 20# (PLASTIC BAG)",WB_INV,"",""
"",18950,"","","""OATS R/C""",50,"RECLEANED GRAINS","R/C WHITE OATS  50#",SINGLE,"",""
"",19025,"","","","","","OAT GROATS 25#",SINGLE,"",""
"",19050,"","","OAT GROATS",50,"SINGLE SEED","OAT GROATS 50#",SINGLE,"",""
"",19100,"","","","","","STEEL CUT OATS 50#",SINGLE,"",""
"",19150,"","","","","","""OAT GROATS COLORED 50#""",SINGLE,"",""
"",19175,"","","""OATS RACE HORSE""",75,"RECLEANED GRAINS","","","",""
"",20103,5,"","","","","NEKTON-S 35gr",NEKTON,"",""
201,20203,5,"","","","","","","",""
"",21102,"","","A S CANARY","6/ 2#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER CANARY 6/2#",AVIAN,"",""
"",21104,"","","A S CANARY","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER CANARY 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789211041.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789211041+raw.nef
"",21105,"","","PEANUTS (INSHELL)",6/4,"SINGLE SEED","INSHELL PEANUTS 6/4#",SINGLE,"",""
"",21120,"","","A S CANARY"," 20#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER CANARY 20#",AVIAN,"",""
200,21125,"","","PEANUTS (INSHELL)",25,"SINGLE SEED","PEANUTS INSHELL (YELLOW BAG) 25#",SINGLE,"",""
"",21140,"","","A S CANARY",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER CANARY 40#",AVIAN,"",""
"",21150,"","","PEANUTS (INSHELL)",50,"SINGLE SEED","PEANUTS INSHELL (YELLOW BAG) 50#",SINGLE,"",""
"",21302,"","","A S COCKATIEL  NO SUN","6/ 2#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER TIEL NO/SUN 6/2#",AVIAN,"",""
"",21304,"","","A S COCKATIEL  NO SUN","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER TIEL NO/SUN 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789213045.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789213045+raw.nef
"",21320,"","","A S COCKATIEL  NO SUN"," 20#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER TIEL NO/SUN 20#",AVIAN,"",""
"",21340,"","","A S COCKATIEL  NO SUN",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER TIEL NO/SUN 40#",AVIAN,"",""
"",21502,"","","A S COCKATIEL  W / SUN","6/ 2#","","A.S. SUPER TIEL W/SUN 6/2#",AVIAN,"",""
"",21504,"","","A S COCKATIEL  W / SUN","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER TIEL W/SUN 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789215049.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789215049+raw.nef
"",21520,"","","A S COCKATIEL  W / SUN",20#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER TIEL W/SUN 20#",AVIAN,"",""
"",21540,"","","A S COCKATIEL  W / SUN",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER TIEL W/SUN 40#",AVIAN,"",""
"",21704,"","","A S ECLECTUS","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER ECLECTUS 6/4#",AVIAN,"",""
"",21720,"","","A S ECLECTUS",20#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER ECLECTUS 20#",AVIAN,"",""
"",21902,"","","A S FINCH","6/ 2#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER FINCH 6/2#",AVIAN,"",""
"",21904,"","","A S FINCH","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER FINCH 6/4#",AVIAN,"",""
"",21920,"","","A S FINCH"," 20#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER FINCH 20#",AVIAN,"",""
"",21940,"","","A S FINCH",40#,"AVIAN SCIENCE SUPER DIET ","","","",""
"",21940,"","","","","","A.S. SUPER FINCH 40#",AVIAN,"",""
"",22102,"","","A S HOOKBILL","6/ 2#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER HOOKBILL 6/2#",AVIAN,"",""
"",22104,"","","A S HOOKBILL",6/4#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER HOOKBILL 4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789221040.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789221040+raw.nef
"",22120,"","","A S HOOKBILL"," 20#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER HOOKBILL 20#",AVIAN,"",""
100,22125,"","","PEANUTS (NO SHELL)",25,"SINGLE SEED","PEANUTS (NO SHELL) RED TAG 25#",SINGLE,"",""
"",22140,"","","A S HOOKBILL",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER HOOKBILL 40#",AVIAN,"",""
"",22140,"","","A S HOOKBILL",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER HOOKBILL 40#",AVIAN,"",""
"",22150,"","","PEANUTS (NO SHELL)",50,"SINGLE SEED","PEANUTS (NO SHELL) RED TAG 50#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/15939221501.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939221501+raw.nef
"",22302,"","","A S LOVEBIRD / CONURE","6/ 2#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER LOVEBIRD/CONURE 6/2#",AVIAN,"",""
"",22304,"","","A S LOVEBIRD / CONURE","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER LOVEBIRD/CONURE 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789223044.jpg,""
"",22320,"","","A S LOVEBIRD / CONURE"," 20#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER LOVEBIRD/CONURE 20#",AVIAN,"",""
"",22340,"","","A S LOVEBIRD / CONURE",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER LOVEBIRD/CONURE 40#",AVIAN,"",""
"",22350,"","","","","","PEANUT HEARTS 50#",SINGLE,"",""
"",22504,"","","A S MACAW","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER MACAW 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789225048.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789225048+raw.nef
"",22520,"","","A S MACAW",20#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER MACAW 20#",AVIAN,"",""
"",22540,"","","A S MACAW",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER MACAW 40#",AVIAN,"",""
"",22702,"","","A S PARAKEET","6/ 2#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARAKEET 6/2#",AVIAN,"",""
"",22704,"","","A S PARAKEET","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARAKEET 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789227042.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789227042+raw.nef
"",22720,"","","A S PARAKEET"," 20#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARAKEET 20#",AVIAN,"",""
"",22740,"","","A S PARAKEET",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARAKEET 40#",AVIAN,"",""
"",22904,"","","A S PARROT","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARROT 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789229046.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789229046+raw.nef
"",22920,"","","A S PARROT",20#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARROT 20#",AVIAN,"",""
"",22940,"","","A S PARROT",40#,"AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARROT 40#",AVIAN,"",""
"",23104,"","","A S PARROTLET","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARROTLET 6/4#",AVIAN,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/070789231049.jpg,""
"",23120,"","","A S PARROTLET","6/ 4#","AVIAN SCIENCE SUPER DIET ","A.S. SUPER PARROTLET 20#",AVIAN,"",""
"",24050,"","","","","","""PEAS ALASKAN GREEN 50#""",SINGLE,"",""
"",24125,"","","","","","""PEAS AUSTRIAN 25#""",SINGLE,"",""
"",24150,"","","""PEAS AUSTRIAN""",50,"SINGLE SEED","""PEAS AUSTRIAN 50#""",SINGLE,"",""
"",24225,"","","","","","""PEAS MAPLE 25#""",SINGLE,"",""
"",24250,"","","""PEAS MAPLE""",50,"SINGLE SEED","""PEAS MAPLE 50#""",SINGLE,"",""
"",24325,"","","","","","""PEAS YELLOW 25#""",SINGLE,"",""
"",24350,"","","""PEAS YELLOW""",50,"sINGLE SEED","""PEAS YELLOW 50#""",SINGLE,"",""
"",24450,"","","","","","SPLIT GREEN PEAS 50#",SINGLE,"",""
"",25950,"","","","","","""RICE BROWN 50#""",SINGLE,"",""
"",26065,"","","","","","""PEPPERS S-4  55#""",SINGLE,"",""
"",26155,"","","","","","""PEPPERS S-9  DUNDICUT 55#""",SINGLE,"",""
"",27025,"","","","","","PINE NUTS 25#",SINGLE,"",""
"",27050,"","",PINENUTS,50,"SINGLE SEED","PINE NUTS 50#",SINGLE,"",""
"",27051,"","",PINENUTS,6/1,"SINGLE SEED","","","",""
"",28025,"","","","","","POPCORN YELLOW 25#",SINGLE,"",""
"",28050,"","",POPCORN,50,"SINGLE SEED","""POPCORN YELLOW 50#""",SINGLE,"",""
"",30025,"","","PUMPKIN SEED",25,"SINGLE SEED","PUMPKIN SEED  WHITE 25#",SINGLE,"",""
"",30025,"","","PUMPKIN SEED",25,"SINGLE SEED","PUMPKIN SEED  WHITE 25#",SINGLE,"",""
"",30050,"","","PUMPKIN SEED",55,"SINGLE SEED","PUMPKIN SEED  WHITE 55#",SINGLE,"",""
